IDPOLUICAO;LAT;LONG
441;-23,5679458;-46,7780129
442;-23,5737248;-46,7293475
443;-23,551313;-46,7623952
444;-23,5726794;-46,7401736
445;-23,539249;-46,5893035
446;-23,562035;-46,743118
447;-23,589426;-46,6704089
448;-23,6923391;-46,6796016
449;-23,5734756;-46,7469273
450;-23,5469909;-46,6569792
451;-23,6363867;-46,7642087
452;-23,5437692;-46,7013074
453;-23,5735382;-46,8717634
454;-23,5292783;-46,8398808
455;-23,629;-46,8051
456;-23,5405585;-46,5659036
457;-23,557514;-46,753084
458;-23,5306655;-46,6979034
459;-23,62834;-46,6453368
460;-23,5795762;-46,8768551
461;-23,5629932;-46,7477023
462;-23,5412865;-46,4998123
463;-23,5437644;-46,6402196
464;-23,5357221;-46,8220463
465;-23,487038;-46,6064713
466;-23,6019803;-46,6668445
467;-23,60153;-46,75462
468;-23,5291127;-46,8294886
469;-23,552197;-46,7730169
470;-23,4821116;-46,6088275
471;-23,5720358;-46,7267105
472;-23,5996549;-46,7278088
473;-23,5721433;-46,7353882
474;-23,5698391;-46,7451326
475;-23,5680076;-46,7984436
476;-23,5586022;-46,6731969
477;-23,519222;-46,836739
478;-23,5392803;-46,666907
479;-23,5073379;-46,8971627
480;-23,5917354;-46,8273846
481;-23,5677553;-46,7456815
482;-23,5351845;-46,8251396
483;-23,559072;-46,769615
484;-23,58416;-46,752351
485;-23,5846659;-46,7910932
486;-23,5306612;-46,8028797
487;-23,5734756;-46,7469273
488;-23,431425;-46,7939913
489;-23,5249988;-46,7309612
490;-23,6260193;-46,5866044
491;-22,90843;-43,10569
492;-23,6213594;-46,7816748
493;-23,645066;-46,775382
494;-23,5696048;-46,7273422
495;-23,5868485;-46,7266707
496;-23,580249;-46,6435368
497;-23,722466;-46,5507818
498;-23,6478659;-46,7839031
499;-23,5532892;-46,9222098
500;-23,559072;-46,769615
501;-23,548491;-46,703327
502;-23,602846;-46,6698723
503;-23,5677157;-46,753444
504;-23,5292104;-46,686998
505;-23,5865407;-46,6373606
506;-23,559158;-46,795048
507;-23,558622;-46,750822
508;-23,5603321;-46,757341
509;-23,647823;-46,6757086
510;-23,5422892;-46,7056332
511;-23,5707025;-46,7446143
512;-23,4952298;-46,4786723
513;-23,5356997;-46,8396691
514;-23,3506858;-46,6211702
515;-23,5685972;-46,7640782
516;-23,5493344;-46,7825857
517;-23,533436;-46,8380382
518;-23,5717629;-46,7302275
519;-23,5821163;-46,8262334
520;-23,5526318;-46,7170339
521;-23,588619;-46,7716388
522;-23,5489605;-46,7456331
523;-23,5346654;-46,9136943
524;-23,563005;-46,8147756
525;-23,5512871;-46,6872874
526;-23,5325509;-46,7663545
527;-23,5702665;-46,7275459
528;-23,5598018;-46,7968813
